Pays,Année,geo,Population,Température,Code,CO2,Catastrophes_totales,Cold wave,Ground movement,Avalanche (wet),Flood (General),Flash flood,Storm (General),Blizzard/Winter storm,Landslide (wet),Heat wave,Forest fire,Tropical cyclone,Severe weather,Hail,Tornado
Guatemala,2001,gtm,11969422,19.02543695380774,GTM,81171400,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Guinea,2001,gin,8539960,27.4411865569273,GIN,27676288,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,2001,gnb,1261273,NA,GNB,5221723.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guyana,2001,guy,764477,28.61264367816092,GUY,5845220,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,2001,hti,8455918,29.686073059360734,HTI,12491466,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Honduras,2001,hnd,6757993,22.291820987654322,HND,26025540,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hungary,2001,hun,10166690,10.800152207001522,HUN,72766720,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,2001,isl,285053,5.304566210045662,ISL,3991440.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,2001,ind,1077898575,26.574404081943495,IND,2017086600,13,2,1,0,4,1,0,0,3,0,0,2,0,0,0
Indonesia,2001,idn,219097902,28.18402777777778,IDN,1373519600,7,0,2,0,0,1,0,0,4,0,0,0,0,0,0
Ireland,2001,irl,3862981,9.381430745814308,IRL,80728680,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,2001,isr,6259982,21.04981973123566,ISR,72578056,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,2001,ita,57305760,14.208523592085237,ITA,528676500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Japan,2001,jpn,127260148,12.718417047184172,JPN,1298718500,6,0,1,0,1,0,2,0,0,0,0,2,0,0,0
Jordan,2001,jor,5498894,18.416590563165908,JOR,19467872,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kazakhstan,2001,kaz,15575550,9.978691019786911,KAZ,132100990,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Kenya,2001,ken,31619170,18.445117845117846,KEN,62954524,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democratic People's Republic of Korea,2001,prk,23815358,10.583561643835617,PRK,97649110,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Republic of Korea,2001,kor,47043468,11.356532356532357,KOR,490842100,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Kuwait,2001,kwt,2008121,27.10076103500761,KWT,87180456,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,2001,lva,2338301,7.761643835616439,LVA,6138203,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,2001,lbn,4401918,21.628919330289193,LBN,19473006,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,2001,mdg,17032939,19.00365296803653,MDG,100200590,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2001,mwi,11593058,20.006666666666668,MWI,22507002,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Malaysia,2001,mys,23526538,27.767732115677322,MYS,273839000,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Mauritania,2001,mrt,2678760,25.942259675405744,MRT,11692693,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,2001,mex,100099099,20.421604938271606,MEX,706851200,6,0,0,0,0,1,0,0,0,0,0,5,0,0,0
Mongolia,2001,mng,2477700,-1.4371385083713852,MNG,44096136,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Morocco,2001,mar,28814643,17.753424657534246,MAR,64410950,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mozambique,2001,moz,18537729,23.75023607176582,MOZ,83233620,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
